ukcode,jycode,inputcode,chabbr,windcode
1114535,554,FXGF,000926,福星股份,000926.SZ
1114536,557,LZHH,000929,兰州黄河,000929.SZ
1114537,486,CCDM,000835,长城动漫,000835.SZ
1114538,539,DYSX,000910,大亚圣象,000910.SZ
1114539,536,ZSZT,000906,浙商中拓,000906.SZ
1114540,558,ZLSH,000930,中粮生化,000930.SZ
1114541,560,ZGC,000931,中 关 村,000931.SZ
1114542,549,HXKL,000921,海信科龙,000921.SZ
1114543,552,HBXG,000923,河北宣工,000923.SZ
1114544,546,JKC,000918,嘉 凯 城,000918.SZ
1114545,115,TJJT,000090,天健集团,000090.SZ
1114546,555,YQXL,000927,一汽夏利,000927.SZ
1114547,561,STHL,000932,*ST 华菱,000932.SZ
1114548,564,HXGF,000936,华西股份,000936.SZ
1114549,563,SCSM,000935,四川双马,000935.SZ
1114550,562,SHGF,000933,神火股份,000933.SZ
1114551,566,JZNY,000937,冀中能源,000937.SZ
1114552,571,STJF,000950,*ST 建峰,000950.SZ
1114553,568,KDST,000939,凯迪生态,000939.SZ
1114554,544,HBGS,000916,华北高速,000916.SZ
1114555,569,NTXX,000948,南天信息,000948.SZ
1114556,570,XXHX,000949,新乡化纤,000949.SZ
1114557,567,ZGGF,000938,紫光股份,000938.SZ
1114559,573,GJYY,000952,广济药业,000952.SZ
1114560,547,JLYY,000919,金陵药业,000919.SZ
1114561,572,ZGZQ,000951,中国重汽,000951.SZ
1114562,574,STHH,000953,*ST 河化,000953.SZ
1114563,575,XLKG,000955,欣龙控股,000955.SZ
1114564,579,SGGF,000959,首钢股份,000959.SZ
1114565,578,DFNY,000958,东方能源,000958.SZ
1114566,577,ZTKC,000957,中通客车,000957.SZ
1114567,583,DFTY,000962,东方钽业,000962.SZ
1114568,584,HDYY,000963,华东医药,000963.SZ
1114569,581,XYGF,000960,锡业股份,000960.SZ
1114570,582,ZNJS,000961,中南建设,000961.SZ
1114571,614,HRSJ,000999,华润三九,000999.SZ
1114572,586,CYDL,000966,长源电力,000966.SZ
1114573,587,YFHJ,000967,盈峰环境,000967.SZ
1114574,585,TBJJ,000965,天保基建,000965.SZ
1114575,590,ZKSH,000970,中科三环,000970.SZ
1114576,591,GSKG,000971,高升控股,000971.SZ
1114577,111,TFXX,000070,特发信息,000070.SZ
1114578,597,GLLY,000978,桂林旅游,000978.SZ
1114579,593,FSKJ,000973,佛塑科技,000973.SZ
1114580,141,DFSC,000301,东方市场,000301.SZ
1114581,589,ATKJ,000969,安泰科技,000969.SZ
1114582,595,CHGF,000976,春晖股份,000976.SZ
1114583,594,YTZY,000975,银泰资源,000975.SZ
1114584,596,LCXX,000977,浪潮信息,000977.SZ
1114585,605,HGKJ,000988,华工科技,000988.SZ
1114586,598,ZHGF,000979,中弘股份,000979.SZ
1114587,599,ZTQC,000980,众泰汽车,000980.SZ
1114588,588,LYKG,000968,蓝焰控股,000968.SZ
1114589,600,YYGF,000981,银亿股份,000981.SZ
1114590,606,JZT,000989,九 芝 堂,000989.SZ
1114591,601,STZR,000982,*ST 中绒,000982.SZ
1114592,607,CZGF,000990,诚志股份,000990.SZ
1114593,604,YXJK,000987,越秀金控,000987.SZ
1114594,611,ZGZQ,000996,中国中期,000996.SZ
1114595,116,GJNY,000096,广聚能源,000096.SZ
1114596,125,CSGF,000158,常山股份,000158.SZ
1114597,602,XSMD,000983,西山煤电,000983.SZ
1114598,603,DQHK,000985,大庆华科,000985.SZ
1114599,117,ZXHZ,000099,中信海直,000099.SZ
1114600,609,MDDL,000993,闽东电力,000993.SZ
1114601,119,YHJK,000150,宜华健康,000150.SZ
1114602,610,HTJY,000995,皇台酒业,000995.SZ
1114603,612,XDL,000997,新 大 陆,000997.SZ
1114604,120,ZCGF,000151,中成股份,000151.SZ
1114605,123,HSCM,000156,华数传媒,000156.SZ
1114606,121,FYYY,000153,丰原药业,000153.SZ
1114607,122,STCH,000155,*ST 川化,000155.SZ
1114608,126,GJSY,000159,国际实业,000159.SZ
1114609,592,STZJ,000972,*ST 中基,000972.SZ
1114610,124,ZLZK,000157,中联重科,000157.SZ
1114611,504,ZYA,000869,张  裕Ａ,000869.SZ
1114612,178,CMZY,000488,晨鸣纸业,000488.SZ
1114613,613,LPGK,000998,隆平高科,000998.SZ
1114614,399,LTA,000726,鲁 泰 Ａ,000726.SZ
1114615,397,JDFA,000725,京东方Ａ,000725.SZ
1114616,506,JDGF,000875,吉电股份,000875.SZ
1114617,118,TCLJT,000100,TCL 集团,000100.SZ
1114618,615,XHC,002001,新 和 成,002001.SZ
1114619,2674,HDXY,002002,鸿达兴业,002002.SZ
1114620,2676,WXGF,002003,伟星股份,002003.SZ
1114621,2678,HBJK,002004,华邦健康,002004.SZ
1114622,2680,DHRD,002005,德豪润达,002005.SZ
1114623,2682,JGKJ,002006,精功科技,002006.SZ
1114624,2684,HLSW,002007,华兰生物,002007.SZ
1114625,2686,DZJG,002008,大族激光,002008.SZ
1114626,2688,TQGF,002009,天奇股份,002009.SZ
1114627,2690,CHZL,002010,传化智联,002010.SZ
1114628,2692,DAHJ,002011,盾安环境,002011.SZ
1114629,2694,KEGF,002012,凯恩股份,002012.SZ
1114630,2696,ZHJD,002013,中航机电,002013.SZ
1114631,2698,YXGF,002014,永新股份,002014.SZ
1114632,2700,XKHB,002015,霞客环保,002015.SZ
1114633,2702,SRZY,002016,世荣兆业,002016.SZ
1114634,2643,DXHP,002017,东信和平,002017.SZ
1114635,2705,HXGJ,002018,华信国际,002018.SZ
1114636,2707,YFYY,002019,亿帆医药,002019.SZ
1114637,2709,JXYY,002020,京新药业,002020.SZ
